N/Buffer earlang index: 0, earlang: 180, general blocking: 0.002696, BBP: 0.00820188
N/Buffer earlang index: 1, earlang: 216, general blocking: 0.0063893, BBP: 0.0194219
N/Buffer earlang index: 2, earlang: 252, general blocking: 0.0113315, BBP: 0.0344
N/Buffer earlang index: 3, earlang: 288, general blocking: 0.0169318, BBP: 0.0513614
N/Buffer earlang index: 4, earlang: 324, general blocking: 0.0228849, BBP: 0.0693139
N/Buffer earlang index: 5, earlang: 360, general blocking: 0.0290758, BBP: 0.0878984
N/Buffer earlang index: 6, earlang: 396, general blocking: 0.0354567, BBP: 0.106976
N/Buffer earlang index: 7, earlang: 432, general blocking: 0.0418978, BBP: 0.126096
N/Buffer earlang index: 8, earlang: 468, general blocking: 0.0482709, BBP: 0.144872
N/Buffer earlang index: 9, earlang: 504, general blocking: 0.0544001, BBP: 0.162807
N/Buffer earlang index: 10, earlang: 540, general blocking: 0.0604621, BBP: 0.180328
N/Buffer earlang index: 11, earlang: 576, general blocking: 0.0662423, BBP: 0.196891
N/Buffer earlang index: 12, earlang: 612, general blocking: 0.0718277, BBP: 0.212699
N/Buffer earlang index: 13, earlang: 648, general blocking: 0.0773782, BBP: 0.228272
N/Buffer earlang index: 14, earlang: 684, general blocking: 0.0824924, BBP: 0.242375
N/Buffer earlang index: 15, earlang: 720, general blocking: 0.0873778, BBP: 0.255595
N/Buffer earlang index: 16, earlang: 756, general blocking: 0.0923038, BBP: 0.268881
N/Buffer earlang index: 17, earlang: 792, general blocking: 0.0969342, BBP: 0.281042
N/Buffer earlang index: 18, earlang: 828, general blocking: 0.101474, BBP: 0.292898
N/Buffer earlang index: 19, earlang: 864, general blocking: 0.105684, BBP: 0.303669
N/Buffer earlang index: 20, earlang: 900, general blocking: 0.10989, BBP: 0.314435
