N/Buffer earlang index: 0, earlang: 180, general blocking: 0.0032345, BBP: 0.0089548
N/Buffer earlang index: 1, earlang: 216, general blocking: 0.0075758, BBP: 0.0209738
N/Buffer earlang index: 2, earlang: 252, general blocking: 0.0144943, BBP: 0.0401243
N/Buffer earlang index: 3, earlang: 288, general blocking: 0.0231885, BBP: 0.0641846
N/Buffer earlang index: 4, earlang: 324, general blocking: 0.0327631, BBP: 0.0906763
N/Buffer earlang index: 5, earlang: 360, general blocking: 0.042597, BBP: 0.117862
N/Buffer earlang index: 6, earlang: 396, general blocking: 0.0519874, BBP: 0.143781
N/Buffer earlang index: 7, earlang: 432, general blocking: 0.0608281, BBP: 0.168133
N/Buffer earlang index: 8, earlang: 468, general blocking: 0.0691419, BBP: 0.19092
N/Buffer earlang index: 9, earlang: 504, general blocking: 0.0768597, BBP: 0.211966
N/Buffer earlang index: 10, earlang: 540, general blocking: 0.084351, BBP: 0.232192
N/Buffer earlang index: 11, earlang: 576, general blocking: 0.0913075, BBP: 0.250674
N/Buffer earlang index: 12, earlang: 612, general blocking: 0.0978679, BBP: 0.267713
N/Buffer earlang index: 13, earlang: 648, general blocking: 0.10444, BBP: 0.284416
N/Buffer earlang index: 14, earlang: 684, general blocking: 0.110634, BBP: 0.299609
N/Buffer earlang index: 15, earlang: 720, general blocking: 0.117175, BBP: 0.315184
N/Buffer earlang index: 16, earlang: 756, general blocking: 0.123009, BBP: 0.328373
N/Buffer earlang index: 17, earlang: 792, general blocking: 0.129211, BBP: 0.341931
N/Buffer earlang index: 18, earlang: 828, general blocking: 0.135337, BBP: 0.354738
N/Buffer earlang index: 19, earlang: 864, general blocking: 0.141546, BBP: 0.367471
N/Buffer earlang index: 20, earlang: 900, general blocking: 0.147429, BBP: 0.379144
